id,kind,code,ts,classification,note,source
,GAP_CONFIRMED,win_local_dictation_gotchas,2026-07-21T22:46:33Z,,Building local dictation on Windows: faster-whisper cpu_threads goes in WhisperModel() ctor not .transcribe(); never name module typing.py (shadows stdlib); sounddevice WASAPI needs blocksize=0; quiet mic needs RMS normalize; Ollama bin not on PATH by default.,fluidvoice-win build
rilp_20260722_dd258f,lesson_confirmed,global-keyboard-hook-kills-all-input,2026-07-22,,"When keyboard works at login but dies after logon AND on-screen keyboard also fails, suspect a session-startup global keyboard hook (WH_KEYBOARD_LL), not hardware or drivers.",nano_session_20260722
rilp_20260722_a476cb,lesson_confirmed,startup-autorun-spawn-storm,2026-07-22,,Fan loud + CPU 100% + process count steadily climbing usually means a Startup autorun launcher that spawns children in a loop without dedup-checking. Kill parent + sweep children + disable Startup entry; a plain reboot alone will not fix it.,nano_session_20260722
rilp_20260723_996627,gap,write_file_timeout_large_content,2026-07-23T20:10:00Z,,write_file with a single large (~10K+ token) content payload can time out the stream and silently drop. Keep per-call args under ~8K tokens; split large files into smaller write_file calls or build up via patch.,buildgrid-ai build
rilp_20260723_efa68c,gap,astar_infinite_loop_missing_closed_set,2026-07-23T20:15:00Z,,A* pathfinding with a linear O(n^2) open-set scan and no closed set can hang (never terminate) on large grids. Verified by treating the test binary as EXTERNAL_SIGNAL — `node --test` timed out. Fix: binary min-heap + Uint8Array closed set; bounded termination.,buildgrid-ai build
rilp_20260723_2662c9,gap,astar_treats_exit_as_obstacle,2026-07-23T20:18:00Z,,Egress pathfinding blocked ALL components — including the exit goal — so A* could never reach the goal cell (returned null even when a path existed). Fix: exclude exit-door components from the obstacle grid; destination is the exit's boundary.,buildgrid-ai build
rilp_20260723_96b97a,gap,geometry_rect_format_mismatch,2026-07-23T20:20:00Z,,"centerOf() expects geometry-format rects {x,y,w,h}; passing component-format {x,y,width,height} yields NaN goals and A* returns null. Always run components through rectOf() before geometric helpers. Caught only because a test asserted non-null.",buildgrid-ai build
rilp_20260723_00ee78,lesson_confirmed,rule_fires_only_on_large_enough_geometries,2026-07-23T20:22:00Z,,"A rule can be CORRECT yet untriggerable on a small training plan. NFPA 10's 75 ft extinguisher travel radius exceeds a 60x40 ft plan's diagonal (~72 ft), so the rule can never fire there. Do not 'fix' the rule — verify with a geometry large enough to exercise it (test used 120x80 ft). Distinguish rule-bug from test-scale-bug.",buildgrid-ai build
rilp_20260723_d8756f,lesson_confirmed,scaffold_green_is_not_correctness,2026-07-23T20:25:00Z,,"A passing scaffold (e.g. 6/6 tests, app runs) is SELF_SIGNAL of completeness, not evidence of correctness. Treat green as noise; probe for magic numbers, inert components, missing units. The ChatGPT BuildGrid scaffold passed but used SNAP=16 px, distance thresholds 52/250 px, 4 of 9 components inert, zero real units.",buildgrid-ai build
rilp_20260723_c9a76f,gap,rilp_ledger_silence_on_feature_work,2026-07-23T20:28:00Z,,"CONFIRMED recurrence: even with the OmniCRM bridge built, the model shipped a full multi-file feature (BuildGrid AI) with ZERO events.jsonl appends and STALE rilp_state.json (last_task 16:00 vs commit 20:28). Logging must be mechanically enforced, not intended. This is the 2nd+ confirmed recurrence of RIL-021.",buildgrid-ai build
rilp_20260723_541427,gap,zztakeoff_complementarity_unverified,2026-07-23T20:30:00Z,,BLIND SPOT: asserted BuildGrid AI (upstream planning/education) is 'complementary' to zzTakeoff (downstream takeoff/estimating) without verifying zzTakeoff's actual API/export surface. An UNKNOWN_UNKNOWN per RILP — Blind Spot Scanner is mandatory next. Do not present strategic complementarity as fact without checking the other product's integration surface.,buildgrid-ai build
